Brand,AvgPrice
"Lightyear ",149000.0000
"Porsche ",138265.8000
"Lucid ",105000.0000
"Audi ",80593.6667
"Tesla ",80272.3077
"Jaguar ",75351.0000
"Mercedes ",61705.0000
"Volvo ",60437.0000
"Byton ",59833.3333
"Polestar ",56440.0000
"Ford ",54568.7500
"BMW ",53145.7500
"Lexus ",50000.0000
"Nissan ",45902.1250
"CUPRA ",45000.0000
"Citroen ",40000.0000
"Skoda ",38255.6667
"DS ",37422.0000
"Hyundai ",36408.3333
"Fiat ",36400.0000
"Aiways ",36057.0000
"Kia ",35862.4000
"Opel ",35350.6667
"Volkswagen ",34602.3750
"Honda ",34459.0000
"Mazda ",32646.0000
"Peugeot ",32021.5000
"Mini ",31681.0000
"Renault ",31183.6667
"MG ",30000.0000
"Sono ",25500.0000
"SEAT ",20129.0000
